Program;Year;Period;Week Ending;Geo Level;State;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;CV (%)
SURVEY;2018;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;260,000,000;
SURVEY;2018;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;16,400,000;
SURVEY;2018;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;54,000,000;
SURVEY;2018;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;23,600,000;
SURVEY;2018;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;48,000,000;
SURVEY;2018;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;39,600,000;
SURVEY;2018;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;43,400,000;
SURVEY;2018;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;1,175,000,000;
SURVEY;2018;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;22,300,000;
SURVEY;2018;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;49,200,000;
SURVEY;2018;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;1,300,000,000;
SURVEY;2018;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;115,000,000;
SURVEY;2018;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;45,000,000;
SURVEY;2018;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;155,000,000;
SURVEY;2018;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;504,000,000;
SURVEY;2018;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;20,100,000;
SURVEY;2018;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;220,000,000;
SURVEY;2018;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;7,200,000,000;
SURVEY;2018;YEAR;;STATE;WEST VIRGINIA;54;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;110,000,000;
SURVEY;2018;YEAR;;STATE;WISCONSIN;55;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;51,600,000;
SURVEY;2017;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;13;
SURVEY;2017;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;230,000,000;
SURVEY;2017;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,7;
SURVEY;2017;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,8;
SURVEY;2017;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;29,500,000;
SURVEY;2017;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;16,4;
SURVEY;2017;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,1;
SURVEY;2017;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;47,400,000;
SURVEY;2017;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,6;
SURVEY;2017;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,7;
SURVEY;2017;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;22,400,000;
SURVEY;2017;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;13,2;
SURVEY;2017;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,7;
SURVEY;2017;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;39,200,000;
SURVEY;2017;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,5;
SURVEY;2017;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,8;
SURVEY;2017;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;48,400,000;
SURVEY;2017;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,9;
SURVEY;2017;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;3,3;
SURVEY;2017;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;49,600,000;
SURVEY;2017;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15;
SURVEY;2017;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;33;
SURVEY;2017;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;900,000,000;
SURVEY;2017;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;27,3;
SURVEY;2017;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,9;
SURVEY;2017;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;25,700,000;
SURVEY;2017;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;8,86;
SURVEY;2017;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,2;
SURVEY;2017;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;38,500,000;
SURVEY;2017;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,5;
SURVEY;2017;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;43,6;
SURVEY;2017;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;1,350,000,000;
SURVEY;2017;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;31;
SURVEY;2017;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;5,2;
SURVEY;2017;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;104,000,000;
SURVEY;2017;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20;
SURVEY;2017;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;4;
SURVEY;2017;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;58,900,000;
SURVEY;2017;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,7;
SURVEY;2017;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;5;
SURVEY;2017;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;175,200,000;
SURVEY;2017;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;35;
SURVEY;2017;YEAR;;STATE;OTHER STATES;;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (X);
SURVEY;2017;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;20;
SURVEY;2017;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;528,000,000;
SURVEY;2017;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;26,4;
SURVEY;2017;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,1;
SURVEY;2017;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;30,900,000;
SURVEY;2017;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,7;
SURVEY;2017;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;10;
SURVEY;2017;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;225,000,000;
SURVEY;2017;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,5;
SURVEY;2017;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;165;
SURVEY;2017;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;7,500,000,000;
SURVEY;2017;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;45,5;
SURVEY;2017;YEAR;;STATE;WEST VIRGINIA;54;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;4,8;
SURVEY;2017;YEAR;;STATE;WEST VIRGINIA;54;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;102,000,000;
SURVEY;2017;YEAR;;STATE;WEST VIRGINIA;54;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;21,3;
SURVEY;2017;YEAR;;STATE;WISCONSIN;55;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;4;
SURVEY;2017;YEAR;;STATE;WISCONSIN;55;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;49,000,000;
SURVEY;2017;YEAR;;STATE;WISCONSIN;55;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,3;
SURVEY;2016;YEAR;;STATE;ARIZONA;4;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;ARIZONA;4;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;ARIZONA;4;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;14;
SURVEY;2016;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;255,000,000;
SURVEY;2016;YEAR;;STATE;CALIFORNIA;6;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;18,2;
SURVEY;2016;YEAR;;STATE;COLORADO;8;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;COLORADO;8;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
