Year;Season;State;State ISO;Total Annual Loss;Beekeepers;Beekeepers Exclusive to State;Colonies;Colonies Exclusive to State;Average loss per year
2010;Annual;Alabama;AL;0.139;21;0.905;459;0.961;0.417
2010;Annual;Arizona;AZ;0.233;7;0.714;2001;0.009;0.417
2010;Annual;Arkansas;AR;0.296;15;0.867;98;0.796;0.417
2010;Annual;California;CA;0.357;144;0.799;130488;0.119;0.417
2010;Annual;Colorado;CO;0.387;65;0.985;741;0.798;0.417
2010;Annual;Connecticut;CT;0.437;43;0.86;666;0.38;0.417
2010;Annual;Delaware;DE;0.39;8;0.875;41;0.792;0.417
2010;Annual;District of Columbia;DC;0.811;1;1;4;1;0.417
2010;Annual;Florida;FL;0.577;57;0.912;13624;0.07;0.417
2010;Annual;Georgia;GA;0.847;61;0.967;5923;0.208;0.417
2010;Annual;Hawaii;HI;0.079;31;1;5287;1;0.417
2010;Annual;Idaho;ID;0.206;14;0.857;11507;0.003;0.417
2010;Annual;Illinois;IL;0.583;57;0.947;1019;0.797;0.417
2010;Annual;Indiana;IN;0.338;65;0.985;6519;0.075;0.417
2010;Annual;Iowa;IA;0.807;14;0.857;1037;0.688;0.417
2010;Annual;Kansas;KS;0.389;11;0.818;175;0.519;0.417
2010;Annual;Kentucky;KY;0.335;21;0.952;430;0.985;0.417
2010;Annual;Louisiana;LA;0.636;13;0.846;6153;0.026;0.417
2010;Annual;Maine;ME;0.869;43;0.93;5668;0.138;0.417
2010;Annual;Maryland;MD;0.475;85;0.988;765;0.976;0.417
2010;Annual;Massachusetts;ZO;0.607;81;0.938;539;0.837;0.417
2010;Annual;Michigan;MI;0.835;99;0.97;10320;0.219;0.417
2010;Annual;Minnesota;MN;0.425;27;0.778;38378;0.013;0.417
2010;Annual;Mississippi;MS;0.435;7;0.571;30618;0.001;0.417
2010;Annual;Missouri;MO;0.267;76;0.974;761;0.936;0.417
2010;Annual;Montana;MT;0.196;15;0.667;20569;0.006;0.417
2010;Annual;Nebraska;NE;0.183;8;0.875;11239;0.008;0.417
2010;Annual;Nevada;NV;0.366;3;0.333;3581;0.003;0.417
2010;Annual;New Hampshire;NH;0.356;30;1;466;1;0.417
2010;Annual;New Jersey;NJ;0.286;41;0.951;297;0.994;0.417
2010;Annual;New Mexico;NM;0.103;9;1;29;1;0.417
2010;Annual;New York;NY;0.681;79;0.848;8197;0.145;0.417
2010;Annual;North Carolina;NC;0.421;303;0.957;3451;0.919;0.417
2010;Annual;North Dakota;ND;0.275;14;0.357;56080;0;0.417
2010;Annual;Ohio;OH;0.399;116;1;948;1;0.417
2010;Annual;Oklahoma;OK;0.331;16;0.75;653;0.944;0.417
2010;Annual;Oregon;OR;0.199;75;0.92;16311;0.022;0.417
2010;Annual;Pennsylvania;PA;0.728;218;0.973;8640;0.543;0.417
2010;Annual;Rhode Island;RI;0.487;25;0.96;113;0.964;0.417
2010;Annual;South Carolina;SC;0.248;42;0.881;1174;0.256;0.417
2010;Annual;South Dakota;SD;0.448;7;0.857;2802;0.035;0.417
2010;Annual;Tennessee;TN;0.364;43;0.907;415;0.802;0.417
2010;Annual;Texas;TX;0.302;37;0.784;44896;0.025;0.417
2010;Annual;Utah;UT;0.271;48;0.958;2340;0.087;0.417
2010;Annual;Vermont;VT;0.257;36;0.889;1188;0.189;0.417
2010;Annual;Virginia;VA;0.408;176;0.977;1491;0.945;0.417
2010;Annual;Washington;WA;0.206;69;0.899;21210;0.023;0.417
2010;Annual;West Virginia;WV;0.786;25;0.92;509;0.487;0.417
2010;Annual;Wisconsin;WI;0.346;54;0.926;6987;0.14;0.417
2010;Annual;Wyoming;WY;0.433;2;1;3883;1;0.417
2010;;Total;TOTAL;0.417;;;;;
2011;Annual;Alabama;AL;0.27;25;0.96;582;0.997;0.351
2011;Annual;Arizona;AZ;0.268;7;0.714;448;0.473;0.351
2011;Annual;Arkansas;AR;0.379;21;0.952;356;0.749;0.351
2011;Annual;California;CA;0.284;175;0.834;163019;0.288;0.351
2011;Annual;Colorado;CO;0.379;67;0.985;891;0.768;0.351
2011;Annual;Connecticut;CT;0.244;30;0.867;394;0.44;0.351
2011;Annual;Delaware;DE;0.513;19;0.895;470;0.79;0.351
2011;Annual;District of Columbia;DC;0.853;5;1;1877;1;0.351
2011;Annual;Florida;FL;0.418;72;0.889;49141;0.134;0.351
2011;Annual;Georgia;GA;0.504;89;0.921;12228;0.142;0.351
2011;Annual;Hawaii;HI;0.204;18;1;13728;1;0.351
2011;Annual;Idaho;ID;0.247;22;0.818;7351;0.014;0.351
2011;Annual;Illinois;IL;0.53;50;0.98;1018;0.769;0.351
2011;Annual;Indiana;IN;0.194;60;0.95;2259;0.273;0.351
2011;Annual;Iowa;IA;0.458;24;0.958;749;0.663;0.351
2011;Annual;Kansas;KS;0.343;14;0.857;668;0.336;0.351
2011;Annual;Kentucky;KY;0.369;28;0.964;869;0.972;0.351
