Program;Year;Period;Week Ending;Geo Level;State;State ISO;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;Value in Kg per Acre;CV (%)
SURVEY;2010;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;1,260;572;
SURVEY;2010;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;2,170;984;
SURVEY;2010;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,180;3257;
SURVEY;2010;YEAR;;STATE;FLORIDA;FL;12;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,690;2127;
SURVEY;2010;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;4,460;2023;
SURVEY;2010;YEAR;;STATE;INDIANA;IN;18;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,370;2436;
SURVEY;2010;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,860;2658;
SURVEY;2010;YEAR;;STATE;MISSISSIPPI;MS;28;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;2,960;1343;
SURVEY;2010;YEAR;;STATE;NEW JERSEY;NJ;34;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;5,830;2644;
SURVEY;2010;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;BLUEBERRIES;BLUEBERRIES, TAME, UTILIZED - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;2,330;1057;
