Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2015;april-june;Arkansas;AK;33.7;32.4;3.6;11.6;14;4.8
2015;april-june;Alabama;AL;24.3;61.8;0;3.3;4.7;6
2015;april-june;Arizona;AZ;9.4;35.8;0.6;22.4;31.5;0.3
2015;april-june;California;CA;42.2;17.8;6.5;19.1;11.8;2.6
2015;april-june;Colorado;CO;66.8;3.1;8;4.8;5.9;11.4
2015;april-june;Connecticut;CT;68;2.7;12.7;5.3;6.7;4.7
2015;april-june;Florida;FL;40.2;24;2.5;16.1;12.4;4.9
2015;april-june;Georgia;GA;44.9;14.9;2.5;24.4;9.8;3.5
2015;april-june;Hawaii;HI;48.2;48.9;0.2;0.1;2.6;0.1
2015;april-june;Iowa;IA;51.3;12.2;6.9;18.6;6.4;4.5
2015;april-june;Idaho;ID;43.4;11.4;11.1;10.2;23.3;0.5
2015;april-june;Illinois;IL;48.1;17.3;0.9;11.7;10.7;11.2
2015;april-june;Indiana;IN;49.5;5.8;22.5;1.6;14.1;6.4
2015;april-june;Kansas;KS;55;9.2;3.4;0.4;13.4;18.7
2015;april-june;Kentucky;KY;36.5;30.6;8.9;3;16;4.9
2015;april-june;Louisiana;LA;77.6;7.9;0.4;2.3;10.7;1.1
2015;april-june;Massachusetts;MA;33.7;31.2;0.1;31.2;2.2;1.6
2015;april-june;Maryland;MD;40.8;10.8;1.7;20.8;13.3;12.5
2015;april-june;Maine;ME;50.8;24.3;0.1;24.3;0.4;0.1
2015;april-june;Michigan;MI;38.9;18.8;0.9;13.2;23.7;4.5
2015;april-june;Minnesota;MN;36.9;9;2;23.9;14.7;13.5
2015;april-june;Missouri;MO;20.9;25.4;12.7;6.6;4.1;30.3
2015;april-june;Mississippi;MS;49.3;29.3;1.5;0.5;11.2;8.3
2015;april-june;Montana;MT;51.1;5.1;4.5;30.1;9.1;0
2015;april-june;North Carolina;NC;65.5;18.4;0.4;4.5;7.4;3.9
2015;april-june;North Dakota;ND;55.8;10.8;0.4;15.5;16.5;1.1
2015;april-june;Nebraska;NE;35.3;37.5;0;7.6;11.4;8.2
2015;april-june;New Mexico;NM;61.3;0;24.5;9.3;0.6;4.3
2015;april-june;New Jersey;NY;61.1;4.2;0.3;30.4;1.2;2.8
2015;april-june;New York;NY;42.5;27.8;10;9.8;7.3;2.4
2015;april-june;Ohio;OH;21.1;5.5;4;15.9;14.9;38.7
2015;april-june;Oklahoma;OK;81.2;7.7;0;0.1;8.6;2.3
2015;april-june;Oregon;OR;41.1;21.9;13.8;16.7;6.1;0.4
2015;april-june;Pennsylvania;PA;37.7;19.2;8.6;5.3;22.2;7
2015;april-june;South Carolina;SC;71.9;13;1.2;3.4;8.9;1.7
2015;april-june;South Dakota;SD;35.5;40.2;6.5;7.2;5.1;5.4
2015;april-june;Tennessee;TN;52.4;28.8;2;10.7;2.8;3.3
2015;april-june;United States;TO;43.6;19.6;4.9;16.7;11.7;3.5
2015;april-june;Texas;TX;31.3;37.1;4.1;10.7;12;4.9
2015;april-june;Utah;UT;46.4;18.4;2.6;21;9.6;2
2015;april-june;Virginia;VA;53.8;26.7;3.7;0.4;6.2;9.2
2015;april-june;Vermont;VT;52.1;26.8;1.4;0;18.3;1.4
2015;april-june;Washington;WA;85.7;0.4;3.9;3.5;5.6;0.9
2015;april-june;Wisconsin;WI;52.2;8.3;1.5;12.1;22.5;3.4
2015;april-june;West Virginia;WV;43.1;22.9;1.7;7.5;12.7;12.2
2015;april-june;Wyoming;WY;36.7;34.4;1.5;6.9;15.9;4.6
2016;april-june;Arkansas;AK;81.6;8.2;5.3;0.1;3.3;1.5
2016;april-june;Alabama;AL;32;27.3;1;5.7;16;18
2016;april-june;Arizona;AZ;21.5;38.2;13.8;9.6;14;2.8
2016;april-june;California;CA;46.4;13.2;10.5;13.3;14.3;2.4
2016;april-june;Colorado;CO;82.2;1.7;7;3;5.5;0.6
2016;april-june;Connecticut;CT;57.1;3.7;3.1;1.8;27;7.4
2016;april-june;Florida;FL;45.8;22.1;9.5;11;9.6;1.9
2016;april-june;Georgia;GA;44.8;21.4;1.5;21.4;8.8;2
2016;april-june;Hawaii;HI;45.9;49.2;0;0.8;4.1;0
2016;april-june;Iowa;IA;32.5;24.6;25.9;0.8;8.3;7.9
2016;april-june;Idaho;ID;53.1;12;6.8;7.8;13.5;6.8
2016;april-june;Illinois;IL;41.2;15.9;7.2;11.2;17;7.6
2016;april-june;Indiana;IN;50.8;11.8;0;8.5;11.4;17.5
