Year;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other* ;Unknown
2016;Alabama;AL;27.1056087;38.51059839;3.001313074;7.503282686;8.028512474;15.85068467
2017;Alabama;AL;42.55319149;18.2558445;5.910165485;17.17888101;8.313632782;7.788284739
2018;Alabama;AL;31.74984967;33.49368611;1.864101022;16.83704149;12.0865905;3.968731209
2015;Arkansas;AR;46.82438402;28.69343281;2.336310985;9.620104054;9.502306862;3.023461274
2016;Arkansas;AR;76.92210739;9.200907487;3.718174943;3.0879758;2.873708092;4.197126292
2017;Arkansas;AR;43.02619485;17.95726103;10.94898897;15.05055147;11.23621324;1.780790441
2018;Arkansas;AR;36.18925831;16.36828645;1.21483376;16.49616368;10.23017903;19.50127877
2015;Arizona;AZ;40.64365126;23.14803979;2.083089526;15.95084845;11.15272089;7.021650088
2016;Arizona;AZ;50.37571386;16.7317904;6.812944595;9.948902916;10.41979762;5.710850616
2017;Arizona;AZ;59.7330064;7.66925487;8.963356491;5.721291377;14.78000272;3.133088135
2018;Arizona;AZ;47.04256495;6.412382532;20.89552239;8.899944721;12.38253179;4.367053621
2015;California;CA;41.29283321;16.7008972;7.977515944;16.7008972;12.48513674;4.842719706
2016;California;CA;44.52040605;15.74476901;9.509011809;14.39817692;11.32173192;4.505904288
2017;California;CA;47.33538742;14.32157937;6.732854045;15.00627639;11.01221043;5.591692343
2018;California;CA;48.09468822;12.41339492;9.237875289;14.6073903;9.872979215;5.773672055
2015;Colorado;CO;53.10218978;10.03649635;10.64008984;13.89668725;6.358787198;5.965749579
2016;Colorado;CO;53.24697755;12.34887737;8.946459413;12.6597582;12.48704663;0.310880829
2017;Colorado;CO;60.55299539;1.788018433;4.976958525;15.29953917;14.06451613;3.31797235
2018;Colorado;CO;63.13559322;1.355932203;14.3220339;3.559322034;15.25423729;2.372881356
2015;Connecticut;CT;54.04564315;4.0802213;3.215767635;3.907330567;28.87275242;5.878284924
2016;Connecticut;CT;55.69927243;9.700889248;2.425222312;2.021018593;23.16087308;6.992724333
2017;Connecticut;CT;74.53613281;3.662109375;0.244140625;1.342773438;13.79394531;6.420898438
2018;Connecticut;CT;60.95238095;3.80952381;1.904761905;3.80952381;20.23809524;9.285714286
2015;Florida;FL;38.82805219;23.29916123;3.704566636;16.40260951;12.69804287;5.067567568
2016;Florida;FL;43.81596111;23.59777066;6.16625163;12.86612119;10.07944978;3.47444563
2017;Florida;FL;40.35051967;15.08049725;4.789076829;10.16914612;8.080293458;21.53046668
2018;Florida;FL;36.2991008;20.30288689;6.720302887;11.73686701;7.38286796;17.55797444
2015;Georgia;GA;46.4480198;16.25;4.678217822;17.63613861;8.948019802;6.03960396
2016;Georgia;GA;47.81005071;17.63485477;2.939142462;20.03227294;7.664822499;3.918856616
2017;Georgia;GA;54.33966983;14.35717859;4.939969985;12.06853427;9.254627314;5.04002001
2018;Georgia;GA;36.78982916;17.60031784;5.880015892;11.76003178;23.32141438;4.648390942
2015;Hawaii;HI;47.88213628;49.06077348;0.506445672;0.092081031;2.366482505;0.092081031
2016;Hawaii;HI;46.72653911;50.67031108;0.130157491;0.520629962;1.822204868;0.130157491
2017;Hawaii;HI;65.23552929;33.11315835;0.347644707;0;1.129845298;0.173822354
2018;Hawaii;HI;48.58900145;50.9406657;0.253256151;0;0.10853835;0.10853835
2015;Iowa;IA;53.15363881;5.624438455;3.683737646;10.02695418;22.96495957;4.546271339
2016;Iowa;IA;41.10824742;14.62628866;13.59536082;9.342783505;14.11082474;7.216494845
2017;Iowa;IA;38.98060256;17.69500619;7.893107718;19.37680561;10.81304168;5.241436236
2018;Iowa;IA;36.8852459;21.31147541;2.459016393;17.41803279;18.44262295;3.483606557
2015;Idaho;ID;57.25769756;7.280448961;9.479751251;9.403913241;10.46564538;6.112543607
2016;Idaho;ID;59.4676477;6.816706341;7.639039169;9.088941787;11.36117723;5.626487773
2017;Idaho;ID;43.82687927;19.29840547;16.10933941;13.64920273;4.719817768;2.396355353
2018;Idaho;ID;62.72799366;7.692307692;3.172085646;16.97065821;5.868358446;3.568596352
2015;Illinois;IL;40.00805802;16.23690572;1.813053989;4.230459307;19.46011281;18.25141015
2016;Illinois;IL;45.26371031;19.94227237;2.755182367;10.23353451;10.57465232;11.23064812
2017;Illinois;IL;46.11189659;21.1068471;2.423752777;8.786103817;12.62371238;8.947687336
2018;Illinois;IL;35.07992895;16.96269982;9.147424512;8.969804618;18.02841918;11.81172291
2015;Indiana;IN;41.29770992;8.218829517;11.65394402;5.801526718;18.01526718;15.01272265
2016;Indiana;IN;62.75734444;16.5394402;1.781170483;2.544529262;7.81864446;8.558871154
2017;Indiana;IN;31.78177095;11.69084217;4.00519593;28.14462005;14.46200476;9.91556614
2018;Indiana;IN;75.62289562;7.946127946;2.28956229;3.367003367;7.542087542;3.232323232
2015;Kansas;KS;37.35760115;14.63925625;0.785648815;17.51996857;20.20426869;9.493256514
2016;Kansas;KS;51.43721634;19.04827397;5.955164352;14.30339706;5.405033696;3.850914592
2017;Kansas;KS;41.29414394;20.06034868;7.007152436;15.40008941;5.53196245;10.70630308
2018;Kansas;KS;46.0200087;22.57503262;1.000434972;12.70117442;13.04915181;4.654197477
2015;Kentucky;KY;38.34865344;22.17384293;3.789711337;8.305112079;19.51298178;7.869698436
2016;Kentucky;KY;41.2933175;25.13224657;1.781280363;13.27863543;12.46896254;6.045557595
2017;Kentucky;KY;46.4444966;25.44003755;1.91269655;4.517718845;10.61957287;11.06547759
2018;Kentucky;KY;46.86192469;30.72325164;0.896592947;7.232516438;6.993424985;7.292289301
2015;Louisiana;LA;68.1544029;8.835946924;6.785283474;3.76960193;10.19300362;2.261761158
2016;Louisiana;LA;43.34140436;21.3882163;19.7740113;1.210653753;12.06618241;2.219531881
2017;Louisiana;LA;46.61062183;37.9637043;0.306912196;1.868161196;3.976514545;9.274085935
2018;Louisiana;LA;43.18936877;21.9269103;1.328903654;4.983388704;18.93687708;9.634551495
2015;MassachTOetts;MA;44.29323405;22.37771216;2.86301194;22.01823084;5.494928746;2.95288227
2016;MassachTOetts;MA;45.51298534;17.43378761;5.271277963;9.514013885;6.119825148;16.14811005
2017;MassachTOetts;MA;62.68472906;8.884588318;10.25686137;9.025334272;5.805770584;3.342716397
2018;MassachTOetts;MA;48.65900383;4.022988506;3.448275862;4.406130268;21.64750958;17.81609195
2015;Maryland;MD;26.5119393;13.50145057;2.00848025;28.23030574;18.4780183;11.26980585
2016;Maryland;MD;50.98839034;12.17445874;7.310950737;13.90021964;12.8647631;2.761217446
2017;Maryland;MD;29.91975545;22.35384028;2.598395109;3.821169278;19.98471532;21.32212457
2018;Maryland;MD;43.98826979;13.19648094;7.624633431;2.639296188;27.41935484;5.131964809
2015;Maine;ME;31.8176277;11.64208217;8.106790199;42.05778374;3.267097403;3.108618798
2016;Maine;ME;37.08368318;0.601735236;1.721242653;43.52085083;3.35852225;13.71396586
2017;Maine;ME;27.41185587;15.65284773;17.396358;10.51917861;14.58736924;14.43239055
