Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2015;july-sept;Arkansas;AK;62.5;29.3;0.8;4.5;1.6;1.3
2015;july-sept;Alabama;AL;40.4;45.2;0;1.7;1.4;11.3
2015;july-sept;Arizona;AZ;47.1;21.8;4.7;15.2;6.7;4.5
2015;july-sept;California;CA;35.6;18.2;11.2;17.5;13.4;4.2
2015;july-sept;Colorado;CO;65.1;1.9;3.5;21.3;4.8;3.5
2015;july-sept;Connecticut;CT;78.3;2.4;0.8;3;15.5;0
2015;july-sept;Florida;FL;34;18.7;5.8;19.7;18.9;2.9
2015;july-sept;Georgia;GA;47.1;16;3.6;21;8.8;3.6
2015;july-sept;Hawaii;HI;48.4;49.9;0.1;0.1;1.5;0
2015;july-sept;Iowa;IA;47;15.7;0.3;12.7;15.1;9.2
2015;july-sept;Idaho;ID;64.7;7.2;2.4;13.8;3;8.9
2015;july-sept;Illinois;IL;47.8;18.6;3.7;2.5;21.1;6.2
2015;july-sept;Indiana;IN;31;23.3;10.9;18.6;2.3;14
2015;july-sept;Kansas;KS;32.4;23.3;0.3;20.3;21.3;2.4
2015;july-sept;Kentucky;KY;57.4;16.1;1.7;9.2;12.8;2.8
2015;july-sept;Louisiana;LA;78.5;7;0;4.8;9.1;0.6
2015;july-sept;Massachusetts;MA;66.5;11.8;1.6;8.6;10.2;1.2
2015;july-sept;Maryland;MD;33.3;23.6;3.6;28.2;8.8;2.5
2015;july-sept;Maine;ME;26.8;9.2;35.8;0;7;21.1
2015;july-sept;Michigan;MI;48.2;17.6;7.9;14.8;1.9;9.5
2015;july-sept;Minnesota;MN;34.4;15.1;7.6;28.3;7.2;7.4
2015;july-sept;Missouri;MO;35.5;37.4;9.6;6.4;6.7;4.5
2015;july-sept;Mississippi;MS;84.3;4.1;0;2;7;2.6
2015;july-sept;Montana;MT;56.1;17.5;11.4;2.5;6.8;5.7
2015;july-sept;North Carolina;NC;40.3;33.1;0.8;8.9;6.8;10.1
2015;july-sept;North Dakota;ND;43.6;20;10.5;15.9;5.3;4.8
2015;july-sept;Nebraska;NE;43.4;13.5;14.2;17.3;6;5.6
2015;july-sept;New Mexico;NM;21.4;19.3;19.3;20.3;19.4;0.2
2015;july-sept;New Jersey;NY;71.3;9.9;1;0;10.9;6.9
2015;july-sept;New York;NY;45.8;16.4;6.5;19.6;10.1;1.7
2015;july-sept;Ohio;OH;46.5;12.1;0.9;35.5;2.4;2.6
2015;july-sept;Oklahoma;OK;31.4;45.1;2;2;11.8;7.8
2015;july-sept;Oregon;OR;59.8;22.2;5.5;3.3;5.1;4.1
2015;july-sept;Pennsylvania;PA;61.6;15.4;5.1;7;9.8;1.1
2015;july-sept;South Carolina;SC;45.2;24;14.2;11.4;3;2.3
2015;july-sept;South Dakota;SD;47.8;15.9;4.3;15.4;4.1;12.4
2015;july-sept;Tennessee;TN;52;39.3;0.5;4.9;2.3;1
2015;july-sept;United States;TO;43.1;18.4;8.4;15.9;9.2;5
2015;july-sept;Texas;TX;35.2;29.8;1.5;22.2;5.4;6
2015;july-sept;Utah;UT;27.8;17.4;28.9;23.3;2.5;0.1
2015;july-sept;Virginia;VA;47.9;23.4;2.1;6.1;5.8;14.7
2015;july-sept;Vermont;VT;96.2;2.1;0;0;1.7;0
2015;july-sept;Washington;WA;79.9;6.5;4;2.5;6.7;0.5
2015;july-sept;Wisconsin;WI;38.5;16.4;6.8;17;10.3;11
2015;july-sept;West Virginia;WV;64.6;15.8;3;4.5;8.9;3.3
2015;july-sept;Wyoming;WY;55.1;21.3;12.4;6.6;3.9;0.8
2016;july-sept;Arkansas;AK;79.9;8.9;0.4;7.8;2.7;0.3
2016;july-sept;Alabama;AL;15.7;56.4;0;5.1;4.3;18.5
2016;july-sept;Arizona;AZ;52.5;1.3;1.1;17;16.9;11.2
2016;july-sept;California;CA;40.3;17;8.1;18;9.9;6.6
2016;july-sept;Colorado;CO;39.8;18.1;13.6;19.9;8.6;0.1
2016;july-sept;Connecticut;CT;71.2;6.1;0;0.8;18.9;3
2016;july-sept;Florida;FL;49.3;25.6;3;10.8;9.3;2
2016;july-sept;Georgia;GA;41.7;22.3;3.3;16.4;10.3;6.1
2016;july-sept;Hawaii;HI;47.1;52.3;0.1;0.6;0;0
2016;july-sept;Iowa;IA;53;5.5;1.3;27.2;3.9;9.1
2016;july-sept;Idaho;ID;49.2;9.1;8.8;14.8;11.7;6.4
2016;july-sept;Illinois;IL;50;22.7;2;12.4;8.3;4.6
2016;july-sept;Indiana;IN;73.8;18.2;1.8;0.9;3.7;1.8
2016;july-sept;Kansas;KS;36.1;21.5;11.9;24.5;3.8;2.2
2016;july-sept;Kentucky;KY;45.8;27.8;1;12.5;8;4.9
2016;july-sept;Louisiana;LA;51;33.7;0;2.1;12.4;0.9
2016;july-sept;Massachusetts;MA;34.4;21.2;16.6;0.2;8.3;19.3
2016;july-sept;Maryland;MD;58.1;25.8;0.5;3.8;3.2;8.6
2016;july-sept;Maine;ME;91.2;1;2;0;5.9;0
2016;july-sept;Michigan;MI;59.5;23.3;0.3;8.4;6;2.5
2016;july-sept;Minnesota;MN;40.3;12.5;5.3;19.1;15.2;7.6
2016;july-sept;Missouri;MO;51.4;29.7;3.9;0.4;12;2.7
2016;july-sept;Mississippi;MS;62.4;7.9;3.6;4.1;11.3;10.7
2016;july-sept;Montana;MT;58.1;12.2;9.7;9.6;8.5;1.9
2016;july-sept;North Carolina;NC;45.9;22.1;0.2;4.8;22.1;5
2016;july-sept;North Dakota;ND;46.3;14.4;7.7;15.7;12.1;3.8
2016;july-sept;Nebraska;NE;60;4.7;0.3;30;4.7;0.3
