Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2015;oct-dec;Arkansas;AK;58.4;14.9;0.2;12.6;13;0.9
2015;oct-dec;Alabama;AL;21.2;43.8;1.4;1.4;19.2;13
2015;oct-dec;Arizona;AZ;69.2;2.3;1.5;4.8;0.7;21.4
2015;oct-dec;California;CA;43.5;14.8;7.2;13.7;12.3;8.5
2015;oct-dec;Colorado;CO;38.7;19.8;17.2;16;6.8;1.5
2015;oct-dec;Connecticut;CT;54.7;8.9;2.6;5.7;17.7;10.4
2015;oct-dec;Florida;FL;43.9;29.6;4;10.9;4.8;6.8
2015;oct-dec;Georgia;GA;60.2;19.3;7.3;6.2;5.1;1.8
2015;oct-dec;Hawaii;HI;47.6;52.1;0.3;0;0;0
2015;oct-dec;Iowa;IA;61;1;0.7;7.3;28.3;1.6
2015;oct-dec;Idaho;ID;70.6;1.1;7.8;7.3;5.1;8.2
2015;oct-dec;Illinois;IL;54.7;14.5;1.7;5.2;5.8;18
2015;oct-dec;Indiana;IN;57.4;1.9;24;0.4;2.3;14.1
2015;oct-dec;Kansas;KS;30.2;16.8;0.1;17;23;12.9
2015;oct-dec;Kentucky;KY;39.6;26.4;0.7;17.5;12.8;3
2015;oct-dec;Louisiana;LA;72.2;6.6;0;4;15.9;1.3
2015;oct-dec;Massachusetts;MA;70.1;3.6;13.8;4.2;5.8;2.5
2015;oct-dec;Maryland;MD;45.9;16.4;0.8;0;1.6;35.2
2015;oct-dec;Maine;ME;96.3;1.1;0;0;0.5;2.1
2015;oct-dec;Michigan;MI;66.7;9.1;0;9.1;7.1;8.2
2015;oct-dec;Minnesota;MN;44.3;8.8;8.5;25.4;3.9;9
2015;oct-dec;Missouri;MO;19.3;41.4;22.8;0.7;5.5;10.3
2015;oct-dec;Mississippi;MS;68.8;16.2;1.9;0;4.5;8.4
2015;oct-dec;Montana;MT;36.2;20.2;14.7;11.6;3.3;14.2
2015;oct-dec;North Carolina;NC;42.3;15;2.2;1.8;23.8;15
2015;oct-dec;North Dakota;ND;48.6;10.4;8.1;6.8;16.7;9.5
2015;oct-dec;Nebraska;NE;85.6;0;1.1;1.7;2.2;9.4
2015;oct-dec;New Mexico;NM;73.4;0.7;0.5;20;1.4;4
2015;oct-dec;New Jersey;NY;64.7;18.5;0;3.4;3.4;10.1
2015;oct-dec;New York;NY;70;6.3;2.3;2.6;1.1;17.7
2015;oct-dec;Ohio;OH;51.1;12.4;2.8;10.3;20.4;3
2015;oct-dec;Oklahoma;OK;24.8;39.8;0.9;0.9;11.5;22.1
2015;oct-dec;Oregon;OR;68.6;5.4;6.3;6.3;7.1;6.3
2015;oct-dec;Pennsylvania;PA;81.3;10.9;2.5;0.8;2;2.5
2015;oct-dec;South Carolina;SC;56.8;11.6;1.6;6.8;23.2;0
2015;oct-dec;South Dakota;SD;47.6;8.5;5.4;20.1;6.8;11.6
2015;oct-dec;Tennessee;TN;50;32.5;0;5.3;8.1;4.1
2015;oct-dec;United States;TO;47.9;14.7;6.7;12.3;9.4;8.9
2015;oct-dec;Texas;TX;43.6;18.2;5.6;11.3;4.6;16.7
2015;oct-dec;Utah;UT;78.7;9.4;6.6;0.2;4.6;0.4
2015;oct-dec;Virginia;VA;43.8;28.6;0.7;0;9.7;17.3
2015;oct-dec;Vermont;VT;62.5;18.4;1;0.7;0.4;17.1
2015;oct-dec;Washington;WA;58;0.8;0.8;2.5;25.2;12.6
2015;oct-dec;Wisconsin;WI;42.1;13.3;2.1;18.7;5.6;18.2
2015;oct-dec;West Virginia;WV;51.6;12.4;3.6;8.2;22.5;1.6
2015;oct-dec;Wyoming;WY;55.8;4.1;8.2;13;14;4.8
2016;oct-dec;Arkansas;AK;66.8;15.2;0;4.1;3.5;10.4
2016;oct-dec;Alabama;AL;35.3;28.4;0.6;6.9;19.3;9.5
2016;oct-dec;Arizona;AZ;75.7;11.9;1.8;5;3.3;2.5
2016;oct-dec;California;CA;48.8;16;9.3;10.6;11.2;4.1
2016;oct-dec;Colorado;CO;64.8;2.6;0.2;6.2;26;0.2
2016;oct-dec;Connecticut;CT;45.4;20.4;3.4;3.1;17.9;9.9
2016;oct-dec;Florida;FL;30.1;26.4;7.5;16.5;13.2;6.3
2016;oct-dec;Georgia;GA;62.2;12.3;5.3;10.8;5.8;3.6
2016;oct-dec;Hawaii;HI;49.2;50.3;0;0.1;0.2;0.1
2016;oct-dec;Iowa;IA;29.2;15.3;13.9;14;17.8;9.8
2016;oct-dec;Idaho;ID;71;1.8;10.7;0.4;9.4;6.7
2016;oct-dec;Illinois;IL;50.5;21.3;2.2;10.2;7.1;8.7
2016;oct-dec;Indiana;IN;63.8;21.7;0.5;3.2;2.3;8.6
2016;oct-dec;Kansas;KS;61.6;17.5;0.6;6.5;10.8;3
2016;oct-dec;Kentucky;KY;51.9;24;3.6;3.2;11.1;6.1
2016;oct-dec;Louisiana;LA;42;14.5;14.5;1.4;10.1;17.4
2016;oct-dec;Massachusetts;MA;42.4;18.1;2.8;2.8;4.9;29.2
2016;oct-dec;Maryland;MD;50;17.4;9.5;9.7;12.2;1.3
2016;oct-dec;Maine;ME;61.1;4.6;0.6;0;33.1;0.6
2016;oct-dec;Michigan;MI;72.9;4.6;0.3;8.2;12.2;1.8
2016;oct-dec;Minnesota;MN;39.4;11;4.4;25.2;7.2;12.8
2016;oct-dec;Missouri;MO;51.8;40.5;0.6;0;4.8;2.3
2016;oct-dec;Mississippi;MS;66.6;18.2;0.3;0;6.4;8.5
2016;oct-dec;Montana;MT;27.9;18.6;15.6;6.5;15.7;15.7
2016;oct-dec;North Carolina;NC;50.7;16.3;3.8;0;26.4;2.7
2016;oct-dec;North Dakota;ND;61.7;20.7;3.9;1;6.8;5.8
2016;oct-dec;Nebraska;NE;69.1;9.2;1.3;7.9;2.6;9.9
2016;oct-dec;New Mexico;NM;84.3;0.5;13.1;0;1.5;0.5
2016;oct-dec;New Jersey;NY;52.8;20.8;0.7;3.5;6.3;15.9
2016;oct-dec;New York;NY;55.2;4.4;7.1;24.8;4.4;4.2
2016;oct-dec;Ohio;OH;48.2;20.8;0.9;4.8;12.8;12.5
2016;oct-dec;Oklahoma;OK;77.8;7.9;0;1.6;1.6;11.1
2016;oct-dec;Oregon;OR;53.1;5.8;27.1;5.8;5.4;2.7
2016;oct-dec;Pennsylvania;PA;56.5;7.9;3;8.5;14.8;9.4
2016;oct-dec;South Carolina;SC;22;20.6;17.7;18.7;19.7;1.4
2016;oct-dec;South Dakota;SD;79.1;8.6;0.5;9.7;1.6;0.5
2016;oct-dec;Tennessee;TN;41.5;45.1;0;2.3;4.6;6.5
2016;oct-dec;United States;TO;47.7;17.3;8.5;9.6;10.3;6.6
2016;oct-dec;Texas;TX;53.7;28.4;5.2;5.8;4.5;2.3
2016;oct-dec;Utah;UT;92.3;0.3;0.7;3.1;2.4;1
2016;oct-dec;Virginia;VA;52.2;33.1;3.3;0;3;8.5
2016;oct-dec;Vermont;VT;26.4;24.5;24.5;24.3;0.2;0
2016;oct-dec;Washington;WA;49.1;10.6;8.5;20.9;10.3;0.7
2016;oct-dec;Wisconsin;WI;43.6;7.7;6.3;6.7;6.7;29.1
2016;oct-dec;West Virginia;WV;67.2;6.5;3.1;3.1;12.1;7.9
2016;oct-dec;Wyoming;WY;74.5;3.7;7.2;12;2.5;0
2017;oct-dec;Arkansas;AK;25.2;19.6;17.9;20.8;16.2;0.3
2017;oct-dec;Alabama;AL;38.7;17.5;15.3;16.5;3;9
2017;oct-dec;Arizona;AZ;83.4;5.7;3.1;2.2;5.5;0.1
2017;oct-dec;California;CA;43.6;12.8;6.7;15.5;15.6;5.7
2017;oct-dec;Colorado;CO;42;1;0.3;27.8;21.6;7.4
2017;oct-dec;Connecticut;CT;84.7;6.5;0;1.4;3.7;3.7
