Program;Year;Period;Week Ending;Geo Level;State;State ISO;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;Value in Kg per Acre;CV (%)
SURVEY;2010;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.16;2867;
SURVEY;2011;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.6;2359;
SURVEY;2012;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.32;2105;
SURVEY;2013;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.76;2504;
SURVEY;2014;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.27;2059;
SURVEY;2015;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.7;3357;
SURVEY;2016;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.2;1996;
SURVEY;2010;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.51;2277;
SURVEY;2011;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.51;1370;
SURVEY;2012;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.49;2259;
SURVEY;2013;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2;1814;
SURVEY;2014;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1;907;
SURVEY;2015;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2;1814;
SURVEY;2010;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;16.3;14787;
SURVEY;2011;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;16.3;14787;
SURVEY;2012;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;15.2;13789;
SURVEY;2013;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.1;12791;
SURVEY;2014;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.1;12791;
