Program;Year;Period;Week Ending;Geo Level;State;State ISO;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;Value in Kg per Acre;CV (%)
SURVEY;2010;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.16;143;
SURVEY;2011;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.6;118;
SURVEY;2012;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.32;105;
SURVEY;2013;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.76;125;
SURVEY;2014;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.27;103;
SURVEY;2015;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.7;168;
SURVEY;2016;YEAR;;STATE;ALABAMA;AL;1;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.2;100;
SURVEY;2010;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.51;114;
SURVEY;2011;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.51;68;
SURVEY;2012;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.49;113;
SURVEY;2013;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2;91;
SURVEY;2014;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1;45;
SURVEY;2015;YEAR;;STATE;ARKANSAS;AR;5;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2;91;
SURVEY;2010;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;16.3;739;
SURVEY;2011;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;16.3;739;
SURVEY;2012;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;15.2;689;
SURVEY;2013;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.1;640;
SURVEY;2014;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.1;640;
SURVEY;2015;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.1;640;
SURVEY;2016;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.2;644;
SURVEY;2010;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.83;264;
SURVEY;2011;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5;227;
SURVEY;2012;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.8;308;
SURVEY;2013;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.93;133;
SURVEY;2014;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.11;232;
SURVEY;2015;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.3;195;
SURVEY;2016;YEAR;;STATE;COLORADO;CO;8;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.49;249;
SURVEY;2010;YEAR;;STATE;CONNECTICUT;CO;9;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3;136;
SURVEY;2011;YEAR;;STATE;CONNECTICUT;CO;9;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3;136;
SURVEY;2012;YEAR;;STATE;CONNECTICUT;CO;9;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.38;153;
SURVEY;2013;YEAR;;STATE;CONNECTICUT;CO;9;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.38;153;
SURVEY;2014;YEAR;;STATE;CONNECTICUT;CO;9;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.43;201;
SURVEY;2015;YEAR;;STATE;CONNECTICUT;CO;9;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.41;155;
SURVEY;2010;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.7;168;
SURVEY;2011;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.53;160;
SURVEY;2012;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.36;152;
SURVEY;2013;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.09;140;
SURVEY;2014;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.26;148;
SURVEY;2015;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.06;184;
SURVEY;2016;YEAR;;STATE;GEORGIA;GA;13;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.33;196;
SURVEY;2010;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.69;258;
SURVEY;2011;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.33;287;
SURVEY;2012;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.91;313;
SURVEY;2013;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.55;252;
SURVEY;2014;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;7.45;338;
SURVEY;2015;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;7.59;344;
SURVEY;2016;YEAR;;STATE;IDAHO;ID;16;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;8.83;401;
SURVEY;2010;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.69;258;
SURVEY;2011;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.8;263;
SURVEY;2012;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.68;258;
SURVEY;2013;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.15;143;
SURVEY;2014;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.08;140;
SURVEY;2015;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.78;126;
SURVEY;2016;YEAR;;STATE;ILLINOIS;IL;17;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.93;224;
SURVEY;2010;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.71;214;
SURVEY;2011;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.32;196;
SURVEY;2012;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.57;207;
SURVEY;2013;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.55;206;
SURVEY;2014;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.76;216;
SURVEY;2015;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.83;219;
SURVEY;2016;YEAR;;STATE;MARYLAND;MD;24;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.19;145;
SURVEY;2010;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.07;185;
SURVEY;2011;YEAR;;STATE;MASSACHUSETTS;MA;25;;;;;;;0;;PEACHES;PEACHES - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;4.07;185;
