Program;Year;Period;Week Ending;Geo Level;State;State ISO;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;Value Kg per Acre;CV (%)
SURVEY;2010;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;15.7;14243;
SURVEY;2010;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.13;1025;
SURVEY;2010;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.92;6278;
SURVEY;2010;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;11.9;10795;
SURVEY;2010;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3;2722;
SURVEY;2010;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;17;15422;
SURVEY;2011;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;18;16329;
SURVEY;2011;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.29;5706;
SURVEY;2011;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;10.1;9163;
SURVEY;2011;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.7;13336;
SURVEY;2011;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.78;2522;
SURVEY;2011;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;21.8;19777;
SURVEY;2012;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;18.1;16420;
SURVEY;2012;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;0.06;54;
SURVEY;2012;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.1;2812;
SURVEY;2012;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;17;15422;
SURVEY;2012;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.38;1252;
SURVEY;2012;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;18.2;16511;
SURVEY;2013;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;20.2;18325;
SURVEY;2013;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;7.64;6931;
SURVEY;2013;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;9.2;8346;
SURVEY;2013;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;13.7;12428;
SURVEY;2013;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;1.98;1796;
SURVEY;2013;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;20.8;18869;
SURVEY;2014;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;18.2;16511;
SURVEY;2014;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.89;3529;
SURVEY;2014;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;5.35;4853;
SURVEY;2014;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.5;13154;
SURVEY;2014;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.18;2885;
SURVEY;2014;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;19.5;17690;
SURVEY;2015;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;19;17237;
SURVEY;2015;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.23;2930;
SURVEY;2015;YEAR;;STATE;NEW YORK;NY;36;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;6.48;5879;
SURVEY;2015;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;15.1;13698;
SURVEY;2015;YEAR;;STATE;PENNSYLVANIA;PA;42;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;2.46;2232;
SURVEY;2015;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;18.3;16601;
SURVEY;2016;YEAR;;STATE;CALIFORNIA;CA;6;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;16.8;15241;
SURVEY;2016;YEAR;;STATE;MICHIGAN;MI;26;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;3.81;3456;
SURVEY;2016;YEAR;;STATE;OREGON;OR;41;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;14.4;13063;
SURVEY;2016;YEAR;;STATE;WASHINGTON;WA;53;;;;;;;0;;PEARS;PEARS - YIELD, MEASURED IN TONS / ACRE;TOTAL;NOT SPECIFIED;16.8;15241;
